Objects
100
,,Global Angle Mannequin:Mannequin,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.161534,-0.044524,3.148399,1315.874146,933.135742,789.624573
2,0,0.161794,-0.043995,3.148435,1315.888794,933.127869,789.623962
3,0,0.162557,-0.044633,3.147690,1315.910400,933.039368,789.575745
4,0,0.161955,-0.044390,3.148236,1315.874756,933.134888,789.631775
5,0,0.162655,-0.044378,3.147992,1315.887573,933.062134,789.561462
6,0,0.162485,-0.044465,3.147951,1315.886230,933.051575,789.562134
7,0,0.161682,-0.044266,3.148378,1315.893433,933.139526,789.625183
8,0,0.162815,-0.044334,3.147838,1315.875366,933.062744,789.559143
9,0,0.162520,-0.044609,3.147849,1315.891357,933.073181,789.567810
10,0,0.161864,-0.045619,3.147722,1315.876709,933.074585,789.574646
11,0,0.162400,-0.045182,3.147644,1315.893921,933.093140,789.588013
12,0,0.162408,-0.044633,3.147889,1315.885498,933.059326,789.548157
13,0,0.161649,-0.044476,3.148386,1315.881958,933.120422,789.609253
14,0,0.162523,-0.044381,3.147998,1315.888916,933.078735,789.573669
15,0,0.161206,-0.044395,3.148554,1315.871338,933.127258,789.610840
16,0,0.161481,-0.044249,3.148648,1315.860107,933.112732,789.606628
17,0,0.161711,-0.044592,3.148141,1315.888916,933.140076,789.629150
18,0,0.161719,-0.044359,3.148542,1315.860718,933.120178,789.617249
19,0,0.161645,-0.044295,3.148603,1315.875732,933.146179,789.628113
20,0,0.161934,-0.043981,3.148521,1315.881592,933.128113,789.616028
21,0,0.161939,-0.044035,3.148427,1315.890381,933.139404,789.631470
22,0,0.162071,-0.043906,3.148357,1315.878906,933.136719,789.610840
23,0,0.162307,-0.044934,3.147901,1315.879517,933.069153,789.571838
24,0,0.163292,-0.044017,3.147682,1315.894409,933.087341,789.579834
25,0,0.161848,-0.045021,3.148161,1315.873291,933.042969,789.548645
26,0,0.162454,-0.044572,3.147876,1315.874268,933.021790,789.536011
27,0,0.161631,-0.044328,3.148475,1315.860962,933.117554,789.625427
28,0,0.162477,-0.044444,3.148023,1315.871826,933.078857,789.570557
29,0,0.161511,-0.044610,3.148335,1315.881226,933.124878,789.613281
30,0,0.162544,-0.044650,3.147749,1315.912231,933.048767,789.566162
31,0,0.161938,-0.044393,3.148349,1315.883911,933.135010,789.616882
32,0,0.161614,-0.044266,3.148507,1315.875000,933.134460,789.625610
33,0,0.162630,-0.044118,3.148091,1315.889526,933.080750,789.567383
34,0,0.161394,-0.044765,3.148386,1315.879517,933.137146,789.626892
35,0,0.161759,-0.043624,3.148799,1315.871338,933.130188,789.610535
36,0,0.161335,-0.044778,3.148389,1315.873779,933.130737,789.612000
37,0,0.161881,-0.043794,3.148667,1315.863892,933.127136,789.623962
38,0,0.161977,-0.044810,3.147946,1315.878906,933.032410,789.556091
39,0,0.162188,-0.045301,3.147717,1315.892578,933.093018,789.588318
40,0,0.162305,-0.043490,3.148426,1315.886841,933.132385,789.623535
41,0,0.162207,-0.044789,3.147908,1315.901123,933.018677,789.551636
42,0,0.161454,-0.044791,3.148305,1315.883667,933.132629,789.632813
43,0,0.161931,-0.043851,3.148627,1315.867310,933.101990,789.591492
44,0,0.161870,-0.043853,3.148602,1315.864746,933.121216,789.610474
45,0,0.162559,-0.044486,3.147647,1315.894897,933.030579,789.559570
46,0,0.161236,-0.044582,3.148587,1315.861206,933.102966,789.597900
47,0,0.162245,-0.043357,3.148640,1315.878296,933.133057,789.620728
48,0,0.162391,-0.044840,3.147820,1315.897339,933.066040,789.575867
49,0,0.161852,-0.044201,3.148301,1315.881836,933.138184,789.615234
50,0,0.161366,-0.044673,3.148500,1315.861328,933.119019,789.610779
51,0,0.161620,-0.044286,3.148458,1315.872192,933.117493,789.608887
52,0,0.162351,-0.044637,3.147953,1315.889038,933.060791,789.566223
53,0,0.162576,-0.044671,3.147612,1315.910034,933.016174,789.546204
54,0,0.161567,-0.044448,3.148404,1315.876831,933.138672,789.629517
55,0,0.162429,-0.044353,3.148119,1315.866699,933.054504,789.563232
56,0,0.161706,-0.044159,3.148467,1315.881836,933.139832,789.622498
57,0,0.161895,-0.043847,3.148558,1315.868042,933.114807,789.612732
58,0,0.161987,-0.044020,3.148463,1315.876953,933.127075,789.617004
59,0,0.161397,-0.044909,3.148304,1315.855957,933.122192,789.611694
60,0,0.161682,-0.044037,3.148757,1315.857056,933.120972,789.614929
61,0,0.161833,-0.044063,3.148408,1315.878662,933.114197,789.604187
62,0,0.162292,-0.043837,3.148345,1315.886963,933.148010,789.632507
63,0,0.161697,-0.044144,3.148495,1315.878662,933.120789,789.602905
64,0,0.161530,-0.044523,3.148484,1315.866455,933.129517,789.625427
65,0,0.162008,-0.043609,3.148629,1315.875366,933.119812,789.607666
66,0,0.162160,-0.043878,3.148363,1315.876099,933.129639,789.613281
67,0,0.162204,-0.043962,3.148546,1315.870605,933.144409,789.636780
68,0,0.161636,-0.044464,3.148644,1315.854614,933.116638,789.620483
69,0,0.162467,-0.044795,3.147648,1315.909668,933.060425,789.579163
70,0,0.161655,-0.044577,3.148377,1315.879150,933.132996,789.625916
71,0,0.161373,-0.044629,3.148446,1315.871948,933.127991,789.622803
72,0,0.161881,-0.044073,3.148451,1315.868774,933.124634,789.617371
73,0,0.162015,-0.043745,3.148608,1315.879150,933.133423,789.616760
74,0,0.162324,-0.045006,3.147968,1315.872437,933.087341,789.587097
75,0,0.161658,-0.044348,3.148345,1315.882446,933.126648,789.623962
76,0,0.161486,-0.044642,3.148320,1315.878296,933.134583,789.610840
77,0,0.161605,-0.044635,3.148333,1315.885498,933.130798,789.614014
78,0,0.161784,-0.044193,3.148303,1315.873657,933.119202,789.612976
79,0,0.162758,-0.044591,3.147817,1315.875366,933.076355,789.583435
80,0,0.162457,-0.044351,3.148199,1315.868896,933.056702,789.556824
81,0,0.162077,-0.043743,3.148542,1315.873291,933.133911,789.634827
82,0,0.161376,-0.044674,3.148305,1315.869507,933.125305,789.610779
83,0,0.161972,-0.044102,3.148431,1315.881470,933.129639,789.621033
84,0,0.162701,-0.044832,3.147804,1315.882202,933.085754,789.582275
85,0,0.161745,-0.044327,3.148438,1315.881592,933.124939,789.613831
86,0,0.161618,-0.044938,3.148205,1315.891235,933.142822,789.629639
87,0,0.162813,-0.044075,3.147933,1315.885010,933.062195,789.568359
88,0,0.163047,-0.043877,3.147947,1315.889282,933.076599,789.574951
89,0,0.161854,-0.045054,3.148015,1315.872925,933.023010,789.545227
90,0,0.161982,-0.044146,3.148242,1315.888306,933.122620,789.607605
91,0,0.162261,-0.043419,3.148549,1315.883057,933.138245,789.630310
92,0,0.161588,-0.044668,3.148315,1315.886475,933.139709,789.627502
93,0,0.161900,-0.044279,3.148470,1315.867676,933.127441,789.624329
94,0,0.161973,-0.043872,3.148631,1315.866821,933.123596,789.612793
95,0,0.161947,-0.043971,3.148434,1315.874878,933.130615,789.606201
96,0,0.162440,-0.044773,3.147739,1315.898071,933.080017,789.582092
97,0,0.161709,-0.044051,3.148566,1315.862183,933.122009,789.618835
98,0,0.162369,-0.045021,3.147724,1315.899292,933.082642,789.579102
99,0,0.161797,-0.044373,3.148346,1315.879883,933.139160,789.633667
100,0,0.162442,-0.044793,3.147726,1315.909424,933.046143,789.569275
101,0,0.161646,-0.044341,3.148528,1315.875000,933.131226,789.616272
102,0,0.162428,-0.044227,3.147800,1315.904785,933.017395,789.537476
103,0,0.162277,-0.044805,3.147955,1315.875488,933.063293,789.558838
104,0,0.162508,-0.043373,3.148475,1315.879272,933.142456,789.624573
105,0,0.162216,-0.043622,3.148541,1315.892090,933.138489,789.616333
106,0,0.161903,-0.044718,3.148099,1315.880127,933.132507,789.623108
107,0,0.161730,-0.044301,3.148381,1315.881226,933.133850,789.626404
108,0,0.161629,-0.044531,3.148310,1315.875000,933.120605,789.624695
109,0,0.162286,-0.044796,3.147839,1315.879272,933.061829,789.560425
110,0,0.162375,-0.044616,3.148045,1315.877075,933.074402,789.567993
111,0,0.162026,-0.043695,3.148556,1315.871948,933.136169,789.620178
112,0,0.162525,-0.044473,3.147774,1315.888672,933.067749,789.566711
113,0,0.162332,-0.045105,3.147748,1315.879028,933.053040,789.564331
114,0,0.162563,-0.044780,3.147811,1315.877563,933.084106,789.573059
115,0,0.162301,-0.044648,3.147873,1315.894287,933.070007,789.561279
116,0,0.161749,-0.044054,3.148620,1315.867188,933.132446,789.624817
117,0,0.161974,-0.043902,3.148438,1315.890137,933.139526,789.622925
118,0,0.161593,-0.044604,3.148309,1315.881958,933.135742,789.631409
119,0,0.161514,-0.044192,3.148557,1315.865112,933.121765,789.611755
120,0,0.161931,-0.044021,3.148349,1315.864502,933.111267,789.599670
121,0,0.161446,-0.044806,3.148228,1315.882813,933.141541,789.614929
122,0,0.161966,-0.043666,3.148408,1315.888916,933.123840,789.596008
123,0,0.161462,-0.044868,3.148229,1315.860474,933.111389,789.606995
124,0,0.162226,-0.044645,3.147972,1315.886963,933.069397,789.552979
125,0,0.161469,-0.045293,3.148127,1315.871582,933.125061,789.613403
126,0,0.162522,-0.044489,3.147833,1315.881958,933.036377,789.555725
127,0,0.161879,-0.044077,3.148386,1315.880249,933.143494,789.640747
128,0,0.161953,-0.045513,3.147760,1315.872803,933.045532,789.549744
129,0,0.161811,-0.044215,3.148476,1315.871582,933.130493,789.612122
130,0,0.161923,-0.044684,3.148243,1315.876831,933.139587,789.641357
131,0,0.162328,-0.043472,3.148497,1315.880005,933.139221,789.624634
132,0,0.161888,-0.043876,3.148553,1315.880981,933.125916,789.611572
133,0,0.162412,-0.044768,3.147597,1315.912231,933.001160,789.554626
134,0,0.161635,-0.044406,3.148517,1315.867188,933.125610,789.623962
135,0,0.161972,-0.043995,3.148589,1315.864502,933.110413,789.594910
136,0,0.162271,-0.044703,3.147821,1315.881714,933.051941,789.557800
137,0,0.162224,-0.044114,3.148210,1315.891602,933.137024,789.616211
138,0,0.162067,-0.044769,3.148096,1315.876709,933.055481,789.546875
139,0,0.162585,-0.044138,3.148055,1315.885498,933.080444,789.566467
140,0,0.161898,-0.044216,3.148494,1315.869629,933.135254,789.639648
141,0,0.161924,-0.043932,3.148378,1315.887451,933.142395,789.617126
142,0,0.161993,-0.044211,3.148276,1315.884521,933.146301,789.645447
143,0,0.162986,-0.044339,3.147633,1315.926758,933.064087,789.578186
144,0,0.161470,-0.044831,3.148343,1315.884888,933.143188,789.631897
145,0,0.161702,-0.044562,3.148309,1315.867432,933.131775,789.628906
146,0,0.162375,-0.044876,3.147884,1315.880127,933.072571,789.565979
147,0,0.162682,-0.044087,3.147858,1315.905396,933.056152,789.568787
148,0,0.161940,-0.043688,3.148635,1315.875732,933.122253,789.609985
149,0,0.162550,-0.043452,3.148257,1315.899658,933.137024,789.614807
150,0,0.161944,-0.044127,3.148477,1315.869507,933.140808,789.631104
151,0,0.161863,-0.044231,3.148381,1315.875366,933.117432,789.609863
152,0,0.162493,-0.044791,3.147871,1315.877930,933.070496,789.582031
153,0,0.161600,-0.044548,3.148390,1315.865112,933.116150,789.608826
154,0,0.161944,-0.044137,3.148342,1315.883911,933.139343,789.625793
155,0,0.162446,-0.044795,3.147909,1315.885498,933.080627,789.580261
156,0,0.161799,-0.044335,3.148382,1315.886841,933.151489,789.631348
157,0,0.161870,-0.044026,3.148459,1315.872559,933.127197,789.623718
158,0,0.161791,-0.044638,3.148252,1315.880615,933.134033,789.614685
159,0,0.161948,-0.043849,3.148421,1315.885986,933.135559,789.627197
160,0,0.162176,-0.043897,3.148609,1315.864502,933.134888,789.622742
161,0,0.162815,-0.044148,3.147846,1315.889038,933.031494,789.537537
162,0,0.161825,-0.045254,3.147941,1315.881714,933.068481,789.578552
163,0,0.161867,-0.044071,3.148546,1315.868286,933.113220,789.603821
164,0,0.162662,-0.044317,3.147830,1315.903320,933.052490,789.560242
165,0,0.162353,-0.044921,3.147807,1315.883301,933.078430,789.569397
166,0,0.162014,-0.043827,3.148526,1315.873413,933.122131,789.606201
167,0,0.161785,-0.044024,3.148574,1315.872681,933.122559,789.615845
168,0,0.161575,-0.044333,3.148453,1315.872437,933.119812,789.605896
169,0,0.161371,-0.044396,3.148468,1315.880737,933.119141,789.609619
170,0,0.161975,-0.044247,3.148283,1315.862549,933.139526,789.628601
171,0,0.162756,-0.044452,3.147892,1315.888550,933.084778,789.569214
172,0,0.161926,-0.044159,3.148259,1315.896729,933.146423,789.643005
173,0,0.161569,-0.044438,3.148295,1315.886108,933.127380,789.611450
174,0,0.162251,-0.044963,3.147944,1315.868286,933.065186,789.568481
175,0,0.162350,-0.045441,3.147496,1315.895508,933.092773,789.589783
176,0,0.162353,-0.044833,3.147876,1315.881836,933.078125,789.560059
177,0,0.161873,-0.043906,3.148640,1315.864136,933.118896,789.608398
178,0,0.162358,-0.043819,3.148340,1315.883179,933.139771,789.621948
179,0,0.161551,-0.044500,3.148474,1315.889648,933.133606,789.619507
180,0,0.161858,-0.044113,3.148408,1315.875122,933.145752,789.620667
181,0,0.161838,-0.044421,3.148325,1315.880371,933.136719,789.617798
182,0,0.161561,-0.044065,3.148656,1315.864258,933.117493,789.599854
183,0,0.162393,-0.044919,3.147899,1315.876221,933.079163,789.586853
184,0,0.161843,-0.044474,3.148360,1315.853271,933.138367,789.632629
185,0,0.162534,-0.044930,3.147589,1315.886597,933.044922,789.552856
186,0,0.162113,-0.044206,3.148307,1315.884644,933.143555,789.619385
187,0,0.162087,-0.043885,3.148569,1315.858765,933.131165,789.625671
188,0,0.162189,-0.043910,3.148451,1315.865112,933.126648,789.622681
189,0,0.162451,-0.044751,3.147871,1315.880859,933.071167,789.565125
190,0,0.162509,-0.044169,3.147853,1315.905396,933.034058,789.533630
191,0,0.162068,-0.043945,3.148448,1315.886719,933.141541,789.626282
192,0,0.162201,-0.043998,3.148216,1315.893921,933.149780,789.630859
193,0,0.162047,-0.045178,3.147717,1315.891846,933.071960,789.573914
194,0,0.161831,-0.044344,3.148361,1315.878174,933.138428,789.621887
195,0,0.162260,-0.044590,3.148097,1315.868652,933.054871,789.553162
196,0,0.162859,-0.044336,3.147796,1315.888794,933.082947,789.577332
197,0,0.161942,-0.043682,3.148626,1315.873657,933.131775,789.629883
198,0,0.162305,-0.044537,3.148012,1315.888550,933.078552,789.559082
199,0,0.161864,-0.044163,3.148439,1315.875610,933.131409,789.621460
200,0,0.162417,-0.045037,3.147775,1315.888550,933.081055,789.573059
201,0,0.161794,-0.044028,3.148559,1315.869995,933.106628,789.590637
202,0,0.161779,-0.044355,3.148293,1315.890625,933.140991,789.627991
203,0,0.161065,-0.044988,3.148416,1315.878174,933.131653,789.615601
204,0,0.162403,-0.044206,3.148139,1315.880737,933.146118,789.632690
205,0,0.162221,-0.043988,3.148249,1315.886841,933.129150,789.603821
206,0,0.162015,-0.044137,3.148346,1315.868286,933.130005,789.615845
207,0,0.162513,-0.044226,3.148037,1315.883789,933.053101,789.555664
208,0,0.161630,-0.044052,3.148624,1315.867188,933.124512,789.622314
209,0,0.162002,-0.045124,3.148050,1315.855347,933.071899,789.592102
210,0,0.162599,-0.044573,3.147921,1315.883179,933.096497,789.578552
211,0,0.161891,-0.045344,3.147872,1315.869019,933.071167,789.558472
212,0,0.162996,-0.043841,3.147998,1315.895386,933.084961,789.577515
213,0,0.161475,-0.044573,3.148437,1315.872681,933.128235,789.610168
214,0,0.161599,-0.044316,3.148440,1315.869019,933.123230,789.617249
215,0,0.162253,-0.044849,3.147874,1315.872314,933.071289,789.570374
216,0,0.161442,-0.044638,3.148474,1315.862793,933.127380,789.617065
217,0,0.162260,-0.044655,3.148148,1315.875366,933.068909,789.555908
218,0,0.161845,-0.044194,3.148449,1315.879883,933.127991,789.618469
219,0,0.162827,-0.044379,3.147600,1315.913818,933.059937,789.574951
220,0,0.162430,-0.044574,3.147996,1315.888794,933.063416,789.556824
221,0,0.161768,-0.044495,3.148306,1315.871704,933.136475,789.636719
222,0,0.162292,-0.044641,3.147924,1315.882813,933.071533,789.557251
223,0,0.161818,-0.044746,3.148051,1315.894653,933.147095,789.635376
224,0,0.161575,-0.044455,3.148377,1315.863403,933.127991,789.613525
225,0,0.162151,-0.043941,3.148402,1315.875366,933.136230,789.622131
226,0,0.161788,-0.044492,3.148246,1315.886719,933.145386,789.642822
227,0,0.161682,-0.044381,3.148408,1315.863159,933.122314,789.617249
228,0,0.162646,-0.044176,3.147875,1315.899048,933.047180,789.567078
229,0,0.162817,-0.043790,3.148169,1315.874634,933.051880,789.548096
230,0,0.162362,-0.044463,3.148142,1315.883545,933.068726,789.558960
231,0,0.162008,-0.045704,3.147675,1315.875854,933.073730,789.581116
232,0,0.161854,-0.043710,3.148759,1315.863525,933.117859,789.602905
233,0,0.162303,-0.044878,3.147670,1315.907104,933.018555,789.543335
234,0,0.162321,-0.044495,3.147934,1315.886597,933.064636,789.576965
235,0,0.162540,-0.044456,3.147813,1315.895020,933.045715,789.567078
236,0,0.162296,-0.044900,3.147949,1315.879883,933.073486,789.561523
237,0,0.162708,-0.044112,3.147861,1315.897095,933.054260,789.565247
238,0,0.161498,-0.044367,3.148640,1315.855713,933.107849,789.600586
239,0,0.161882,-0.043903,3.148496,1315.880859,933.136902,789.622620
240,0,0.161965,-0.043970,3.148419,1315.888428,933.132629,789.611206
241,0,0.162268,-0.043509,3.148563,1315.882568,933.141663,789.622681
242,0,0.162136,-0.045084,3.147844,1315.875977,933.092224,789.571960
243,0,0.162697,-0.044611,3.147884,1315.882935,933.078796,789.578125
244,0,0.161922,-0.043837,3.148534,1315.871338,933.136169,789.616028
245,0,0.161579,-0.045194,3.148042,1315.880005,933.129761,789.623901
246,0,0.162011,-0.043814,3.148501,1315.867920,933.129272,789.630005
247,0,0.161642,-0.044878,3.148435,1315.843140,933.053406,789.563538
248,0,0.162305,-0.044817,3.147881,1315.880737,933.069824,789.570251
249,0,0.162013,-0.045233,3.147810,1315.875244,933.077881,789.576416
250,0,0.161814,-0.044013,3.148601,1315.868652,933.119385,789.616394
251,0,0.162055,-0.043637,3.148581,1315.886475,933.132263,789.602905
252,0,0.162346,-0.044564,3.148005,1315.882935,933.066345,789.562317
253,0,0.161580,-0.044343,3.148511,1315.864624,933.116638,789.609375
254,0,0.162550,-0.044163,3.148095,1315.894531,933.068237,789.568970
255,0,0.161879,-0.044400,3.148309,1315.874756,933.126892,789.622498
256,0,0.162338,-0.044127,3.148287,1315.863159,933.130798,789.626709
257,0,0.161478,-0.044585,3.148416,1315.874756,933.129211,789.628540
258,0,0.161929,-0.044283,3.148265,1315.878540,933.140991,789.630798
259,0,0.162479,-0.043274,3.148395,1315.892822,933.142761,789.619080
260,0,0.161804,-0.044110,3.148484,1315.869385,933.123535,789.628113
261,0,0.162132,-0.045332,3.147731,1315.889038,933.082092,789.578064
262,0,0.161902,-0.043767,3.148596,1315.875610,933.110291,789.586914
263,0,0.162524,-0.044664,3.147929,1315.882202,933.066956,789.565369
264,0,0.162274,-0.045029,3.147901,1315.872192,933.096680,789.581848
265,0,0.162380,-0.044418,3.147969,1315.894653,933.023621,789.557617
266,0,0.162415,-0.043307,3.148437,1315.888306,933.137756,789.630859
267,0,0.162359,-0.044617,3.147932,1315.895630,933.061829,789.566101
268,0,0.162027,-0.044150,3.148443,1315.864624,933.120972,789.610840
269,0,0.161933,-0.044121,3.148378,1315.875977,933.135864,789.618835
270,0,0.162392,-0.044800,3.147876,1315.886719,933.069458,789.580322
271,0,0.162430,-0.043490,3.148283,1315.895874,933.137451,789.631409
272,0,0.161274,-0.044774,3.148628,1315.854736,933.118713,789.610413
273,0,0.161775,-0.044164,3.148466,1315.870605,933.121155,789.619568
274,0,0.162543,-0.044347,3.147656,1315.897949,933.031860,789.545166
275,0,0.161487,-0.044717,3.148410,1315.872192,933.146118,789.640991
276,0,0.162695,-0.044653,3.147728,1315.887451,933.076233,789.569153
277,0,0.162326,-0.045124,3.147612,1315.895142,933.073303,789.589722
278,0,0.161551,-0.044763,3.148226,1315.867432,933.116150,789.607239
279,0,0.162121,-0.044713,3.148066,1315.878052,933.069031,789.564331
280,0,0.161273,-0.044671,3.148555,1315.855103,933.111572,789.601624
281,0,0.161352,-0.044380,3.148550,1315.855591,933.112915,789.609192
282,0,0.161608,-0.044354,3.148410,1315.875000,933.133667,789.626160
283,0,0.162631,-0.044614,3.147875,1315.891479,933.087646,789.576172
284,0,0.162091,-0.044938,3.147908,1315.882568,933.071167,789.580750
