Objects
100
,,Global Angle Mannequin:Mannequin,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.013925,-0.011378,0.722579,126.348999,167.044647,174.489899
2,0,0.015215,-0.011846,0.723053,126.341446,167.054703,174.486740
3,0,0.015241,-0.011755,0.722983,126.365646,167.095413,174.502609
4,0,0.014348,-0.011432,0.722700,126.338196,167.071579,174.492645
5,0,0.015003,-0.011809,0.723002,126.328903,167.054214,174.476578
6,0,0.014598,-0.011671,0.722921,126.348701,167.054916,174.479706
7,0,0.015330,-0.011870,0.723137,126.338379,167.060532,174.483734
8,0,0.014957,-0.011851,0.722885,126.342209,167.018555,174.501785
9,0,0.015170,-0.011816,0.723071,126.357796,167.062592,174.490112
10,0,0.019539,-0.012305,0.723591,126.356453,166.992981,174.427048
11,0,0.019806,-0.012121,0.723662,126.363220,166.999115,174.432755
12,0,0.014574,-0.011520,0.722576,126.364441,167.059433,174.479248
13,0,0.014917,-0.011529,0.722806,126.344635,167.039459,174.517883
14,0,0.014503,-0.011525,0.723103,126.340034,167.074280,174.480103
15,0,0.014603,-0.011602,0.723011,126.346527,167.069565,174.491699
16,0,0.015036,-0.011632,0.722808,126.340759,167.048370,174.495041
17,0,0.013981,-0.011793,0.722709,126.330986,167.058273,174.477966
18,0,0.014748,-0.011528,0.722752,126.346649,167.048309,174.485718
19,0,0.014993,-0.011752,0.723174,126.341019,167.057724,174.470139
20,0,0.015092,-0.011774,0.723080,126.332108,167.084244,174.502502
21,0,0.020046,-0.012411,0.724017,126.336288,166.994415,174.428192
22,0,0.014688,-0.011687,0.722847,126.360016,167.076141,174.481247
23,0,0.014981,-0.011655,0.722919,126.331360,167.068512,174.485840
24,0,0.014600,-0.011591,0.722867,126.354424,167.071060,174.491333
25,0,0.014948,-0.011745,0.722920,126.352280,167.055389,174.490936
26,0,0.014888,-0.011618,0.722876,126.342964,167.001740,174.490082
27,0,0.014854,-0.011835,0.723373,126.318794,167.075287,174.488052
28,0,0.014172,-0.011537,0.722534,126.334877,167.078110,174.487000
29,0,0.015065,-0.011764,0.722847,126.354340,167.066772,174.497818
30,0,0.014936,-0.011687,0.722976,126.339737,167.059296,174.481552
31,0,0.014971,-0.011645,0.723029,126.349197,167.062286,174.478561
32,0,0.014895,-0.011732,0.722806,126.347702,167.063660,174.494095
33,0,0.019912,-0.012417,0.723567,126.365753,166.954849,174.439194
34,0,0.014355,-0.011582,0.722715,126.329750,167.051422,174.491760
35,0,0.019271,-0.012159,0.723391,126.355293,166.982056,174.428177
36,0,0.015041,-0.011665,0.723009,126.331924,167.068710,174.476959
37,0,0.014361,-0.011580,0.722752,126.348450,167.053268,174.484695
38,0,0.015227,-0.011697,0.722856,126.345055,167.070328,174.495377
39,0,0.019906,-0.012383,0.723987,126.338554,166.982162,174.415253
40,0,0.014860,-0.011688,0.722907,126.342773,167.058975,174.491135
41,0,0.014188,-0.011502,0.722625,126.340775,167.063492,174.490082
42,0,0.014864,-0.011672,0.722859,126.334351,167.058578,174.475494
43,0,0.014871,-0.011792,0.722883,126.354561,167.086960,174.481934
44,0,0.014609,-0.011661,0.722652,126.357826,167.058868,174.482681
45,0,0.014539,-0.011651,0.722859,126.346931,167.058090,174.469818
46,0,0.020039,-0.012293,0.723883,126.348808,166.993668,174.433640
47,0,0.019046,-0.012258,0.723462,126.352234,166.977875,174.421875
48,0,0.014694,-0.011658,0.722849,126.350777,167.061600,174.478302
49,0,0.014621,-0.011543,0.722911,126.348106,167.060760,174.505127
50,0,0.014873,-0.011693,0.722826,126.346436,167.071533,174.481125
51,0,0.014372,-0.011780,0.722920,126.339180,167.071182,174.482025
52,0,0.015045,-0.011715,0.722917,126.327560,167.076431,174.493469
53,0,0.016140,-0.011770,0.723057,126.358505,167.075592,174.488831
54,0,0.013679,-0.011440,0.722476,126.345428,167.079117,174.480103
55,0,0.014994,-0.011647,0.722727,126.362976,167.071106,174.488800
56,0,0.019489,-0.012235,0.723546,126.359612,166.985382,174.436142
57,0,0.014762,-0.011574,0.722860,126.355202,167.065430,174.497040
58,0,0.014032,-0.011540,0.722893,126.346649,167.065903,174.492661
59,0,0.020039,-0.012387,0.723806,126.369133,167.012604,174.435928
60,0,0.014919,-0.011603,0.722727,126.361549,167.026764,174.512314
61,0,0.014674,-0.011633,0.722778,126.351746,167.067078,174.487015
62,0,0.015569,-0.011964,0.723032,126.342270,167.047058,174.495728
63,0,0.015145,-0.011706,0.722864,126.341270,167.089874,174.484741
64,0,0.015221,-0.011786,0.722930,126.350716,167.067352,174.482590
65,0,0.014724,-0.011573,0.722773,126.344917,167.052200,174.475250
66,0,0.014916,-0.011707,0.723137,126.324478,167.066772,174.489410
67,0,0.015163,-0.011752,0.723100,126.363052,167.079163,174.496399
68,0,0.015070,-0.011718,0.722883,126.358002,167.044006,174.507416
69,0,0.018820,-0.012191,0.723506,126.348045,166.971039,174.413284
70,0,0.019348,-0.012318,0.723498,126.368477,166.988403,174.422440
71,0,0.015040,-0.011484,0.723039,126.352844,167.082916,174.495773
